product;code;libelle
Riz basmati Carrefour 5kg;01.1.1.1;Céréales (ND)
Blé dur Auchan 1kg;01.1.1.1;Céréales (ND)
Orge perlé Leclerc 1kg;01.1.1.1;Céréales (ND)
Maïs doux Intermarché 1kg;01.1.1.1;Céréales (ND)
Quinoa rouge Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet bio La Vie Claire 500g;01.1.1.1;Céréales (ND)
Sorgo grain BioValeur 500g;01.1.1.1;Céréales (ND)
Teff bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet Casino 1kg;01.1.1.1;Céréales (ND)
Blé complet Monoprix 1kg;01.1.1.1;Céréales (ND)
Orge perlée Cora 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté Lidl 500g;01.1.1.1;Céréales (ND)
Quinoa blanc Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet Carrefour Bio 500g;01.1.1.1;Céréales (ND)
Sorgo bio Auchan 500g;01.1.1.1;Céréales (ND)
Teff rouge BioCoop 250g;01.1.1.1;Céréales (ND)
Riz étuvé Japonais Casino 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Leclerc 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Intermarché 1kg;01.1.1.1;Céréales (ND)
Maïs grain bio Monoprix 1kg;01.1.1.1;Céréales (ND)
Quinoa tricolore Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé La Vie Claire 500g;01.1.1.1;Céréales (ND)
Sorgo perlé Lidl 500g;01.1.1.1;Céréales (ND)
Teff noir Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati bio Carrefour 5kg;01.1.1.1;Céréales (ND)
Riz sushi Kikkoman 1kg;01.1.1.1;Céréales (ND)
Blé dur sélection Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlé bio Cora 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté bio Casino 500g;01.1.1.1;Céréales (ND)
Quinoa vert Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet bio Monoprix 500g;01.1.1.1;Céréales (ND)
Sorgo grain bio Auchan 1kg;01.1.1.1;Céréales (ND)
Teff blanc Alnatura 250g;01.1.1.1;Céréales (ND)
Riz rouge Thai Carrefour 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Intermarché 2kg;01.1.1.1;Céréales (ND)
